date,home_team,away_team,home_team_pregame_rating,away_team_pregame_rating,home_team_winprob,away_team_winprob,home_team_score,away_team_score,home_team_postgame_rating,away_team_postgame_rating,game_quality_rating,game_importance_rating,game_overall_rating,avg_attendance,team,abbr,wins,losses,otl,game_num,gf,ga
2021-10-13,Anaheim Ducks,Winnipeg Jets,1451.04455846372,1507.93883586214,0.490079639310323,0.509920360689677,4,1,1455.77007156903,1503.21332275683,16,51,33,13083,Anaheim Ducks,ANA,1,0,0,1,4,1
2021-10-15,Anaheim Ducks,Minnesota Wild,1455.77007156903,1525.27321264935,0.471962167508677,0.528037832491323,1,2,1453.51253821143,1527.53074600695,27,56,41,13083,Anaheim Ducks,ANA,1,1,0,2,5,3
2021-10-18,Calgary Flames,Anaheim Ducks,1498.12608024257,1453.51253821143,0.632890982330375,0.367109017669625,2,3,1494.92210328743,1456.71651516657,14,54,34,14284,Anaheim Ducks,ANA,2,1,0,3,8,5
2021-10-19,Edmonton Oilers,Anaheim Ducks,1521.55740517116,1456.71651516657,0.659502348196964,0.340497651803036,6,5,1523.11437866084,1455.15954167689,26,54,40,14927,Anaheim Ducks,ANA,2,2,0,4,13,11
2021-10-21,Winnipeg Jets,Anaheim Ducks,1499.0464068599,1455.15954167689,0.631918544519313,0.368081455480687,5,1,1502.7033139475,1451.50263458929,15,52,33,12716,Anaheim Ducks,ANA,2,3,0,5,14,16
2021-10-23,Minnesota Wild,Anaheim Ducks,1531.71800687643,1451.50263458929,0.679087162829637,0.320912837170363,4,3,1533.17507806859,1450.04556339713,28,23,25,18542,Anaheim Ducks,ANA,2,3,1,6,17,20
2021-10-26,Anaheim Ducks,Winnipeg Jets,1450.04556339713,1505.91151503453,0.491559019034328,0.508440980965672,3,4,1447.67869585506,1508.2783825766,15,51,33,13083,Anaheim Ducks,ANA,2,4,1,7,20,24
2021-10-28,Anaheim Ducks,Buffalo Sabres,1447.67869585506,1459.8713301971,0.554195424387251,0.445804575612749,3,4,1444.95231539814,1462.59771065402,3,28,15,13083,Anaheim Ducks,ANA,2,4,2,8,23,28
2021-10-29,Vegas Golden Knights,Anaheim Ducks,1548.82481859952,1444.95231539814,0.7080146860619,0.2919853139381,5,4,1550.13631656407,1443.64081743359,34,20,27,18100,Anaheim Ducks,ANA,2,4,3,9,27,33
2021-10-31,Anaheim Ducks,Montreal Canadiens,1443.64081743359,1481.96785752515,0.516792421772054,0.483207578227946,4,2,1447.29693291818,1478.31174204056,6,18,12,13083,Anaheim Ducks,ANA,3,4,3,10,31,35
