,ot,home_team,away_team,home_team_abbr,away_team_abbr,home_team_score,away_team_score,home_team_diff,away_team_diff,distance
0,,Tampa Bay Lightning,Pittsburgh Penguins,TBL,PIT,2,6,-4,4,1407.74
1,,Vegas Golden Knights,Seattle Kraken,VEG,SEA,4,3,1,-1,1208.06
2,,Toronto Maple Leafs,Montreal Canadiens,TOR,MTL,2,1,1,-1,781.41
3,,Washington Capitals,New York Rangers,WSH,NYR,5,1,4,-4,330.53
4,,Colorado Avalanche,Chicago Blackhawks,COL,CHI,4,2,2,-2,1462.81
5,,Anaheim Ducks,Winnipeg Jets,ANA,WPG,4,1,3,-3,2519.75
6,SO,Edmonton Oilers,Vancouver Canucks,EDM,VAN,3,2,1,-1,764.76
7,,Buffalo Sabres,Montreal Canadiens,BUF,MTL,5,1,4,-4,835.14
8,OT,New York Rangers,Dallas Stars,NYR,DAL,2,3,-1,1,2208.21
9,OT,Florida Panthers,Pittsburgh Penguins,FLA,PIT,5,4,1,-1,1588.29
10,,Carolina Hurricanes,New York Islanders,CAR,NYI,6,3,3,-3,698.39
11,,Ottawa Senators,Toronto Maple Leafs,OTT,TOR,3,2,1,-1,329.86
12,,Columbus Blue Jackets,Arizona Coyotes,CBJ,ARI,8,2,6,-6,2689.49
13,OT,Detroit Red Wings,Tampa Bay Lightning,DET,TBL,6,7,-1,1,1601.96
14,,Nashville Predators,Seattle Kraken,NSH,SEA,3,4,-1,1,3171.08
15,,Los Angeles Kings,Vegas Golden Knights,LAK,VEG,6,2,4,-4,529.87
16,SO,Philadelphia Flyers,Vancouver Canucks,PHI,VAN,4,5,-1,1,3866.19
17,OT,New Jersey Devils,Chicago Blackhawks,NJD,CHI,4,3,1,-1,1146.28
18,,Anaheim Ducks,Minnesota Wild,ANA,MIN,1,2,-1,1,2522.21
19,SO,Buffalo Sabres,Arizona Coyotes,BUF,ARI,2,1,1,-1,3072.68
20,,Florida Panthers,New York Islanders,FLA,NYI,5,1,4,-4,1728.87
21,OT,Washington Capitals,Tampa Bay Lightning,WSH,TBL,1,2,-1,1,1317.63
22,,Montreal Canadiens,New York Rangers,MTL,NYR,1,3,-2,2,965.62
23,,Pittsburgh Penguins,Chicago Blackhawks,PIT,CHI,5,2,3,-3,674.93
24,OT,Columbus Blue Jackets,Seattle Kraken,CBJ,SEA,2,1,1,-1,3232.86
25,,Toronto Maple Leafs,Ottawa Senators,TOR,OTT,3,1,2,-2,329.86
26,,Boston Bruins,Dallas Stars,BOS,DAL,3,1,2,-2,2493.25
27,,Detroit Red Wings,Vancouver Canucks,DET,VAN,3,1,2,-2,3158.96
28,,Nashville Predators,Carolina Hurricanes,NSH,CAR,2,3,-1,1,728.8
29,,Colorado Avalanche,St. Louis Blues,COL,STL,3,5,-2,2,1280.58
30,,Edmonton Oilers,Calgary Flames,EDM,CGY,5,2,3,-3,172.09
31,,San Jose Sharks,Winnipeg Jets,SJS,WPG,4,3,1,-1,2415.41
32,,Los Angeles Kings,Minnesota Wild,LAK,MIN,2,3,-1,1,2461.56
33,,Ottawa Senators,Dallas Stars,OTT,DAL,3,2,1,-1,2265.74
34,OT,Toronto Maple Leafs,New York Rangers,TOR,NYR,1,2,-1,1,547.8
35,,Philadelphia Flyers,Seattle Kraken,PHI,SEA,6,1,5,-5,3823.0
36,OT,Calgary Flames,Anaheim Ducks,CGY,ANA,2,3,-1,1,1955.31
37,,Arizona Coyotes,St. Louis Blues,ARI,STL,4,7,-3,3,2055.98
38,,Buffalo Sabres,Vancouver Canucks,BUF,VAN,5,2,3,-3,3433.89
39,,New Jersey Devils,Seattle Kraken,NJD,SEA,4,2,2,-2,3853.58
40,SO,Pittsburgh Penguins,Dallas Stars,PIT,DAL,1,2,-1,1,1721.23
41,,Tampa Bay Lightning,Florida Panthers,TBL,FLA,1,4,-3,3,289.3
42,,Washington Capitals,Colorado Avalanche,WSH,COL,6,3,3,-3,2399.4
43,,Montreal Canadiens,San Jose Sharks,MTL,SJS,0,5,-5,5,4052.15
44,,Detroit Red Wings,Columbus Blue Jackets,DET,CBJ,4,1,3,-3,263.77
45,,Nashville Predators,Los Angeles Kings,NSH,LAK,2,1,1,-1,2858.76
46,,Chicago Blackhawks,New York Islanders,CHI,NYI,1,4,-3,3,1183.47
47,OT,Minnesota Wild,Winnipeg Jets,MIN,WPG,6,5,1,-1,628.45
48,,Edmonton Oilers,Anaheim Ducks,EDM,ANA,6,5,1,-1,2127.38
49,,Philadelphia Flyers,Boston Bruins,PHI,BOS,6,3,3,-3,439.91
50,,Vegas Golden Knights,St. Louis Blues,VEG,STL,1,3,-2,2,2171.57
51,,Florida Panthers,Colorado Avalanche,FLA,COL,4,1,3,-3,2739.74
52,,Montreal Canadiens,Carolina Hurricanes,MTL,CAR,1,4,-3,3,1571.76
53,,Ottawa Senators,San Jose Sharks,OTT,SJS,1,2,-1,1,3885.12
54,,New Jersey Devils,Washington Capitals,NJD,WSH,1,4,-3,3,317.63
55,OT,Columbus Blue Jackets,New York Islanders,CBJ,NYI,3,2,1,-1,790.38
56,,Detroit Red Wings,Calgary Flames,DET,CGY,0,3,-3,3,2530.89
57,,Nashville Predators,New York Rangers,NSH,NYR,1,3,-2,2,1225.79
58,,Winnipeg Jets,Anaheim Ducks,WPG,ANA,5,1,4,-4,2519.75
59,,Chicago Blackhawks,Vancouver Canucks,CHI,VAN,1,4,-3,3,2837.55
60,,Arizona Coyotes,Edmonton Oilers,ARI,EDM,1,5,-4,4,2116.68
61,,Toronto Maple Leafs,San Jose Sharks,TOR,SJS,3,5,-2,2,3622.94
62,,Buffalo Sabres,Boston Bruins,BUF,BOS,1,4,-3,3,641.64
63,OT,Dallas Stars,Los Angeles Kings,DAL,LAK,3,2,1,-1,1992.7
64,,Vegas Golden Knights,Edmonton Oilers,VEG,EDM,3,5,-2,2,1611.37
65,OT,Washington Capitals,Calgary Flames,WSH,CGY,3,4,-1,1,3167.49
66,,Ottawa Senators,New York Rangers,OTT,NYR,2,3,-1,1,529.36
67,OT,Minnesota Wild,Anaheim Ducks,MIN,ANA,4,3,1,-1,2522.21
68,,Philadelphia Flyers,Florida Panthers,PHI,FLA,2,4,-2,2,1601.07
69,SO,Tampa Bay Lightning,Colorado Avalanche,TBL,COL,3,4,-1,1,2451.28
70,,Winnipeg Jets,Nashville Predators,WPG,NSH,6,4,2,-2,1739.04
71,,Columbus Blue Jackets,Carolina Hurricanes,CBJ,CAR,1,5,-4,4,596.44
72,,Pittsburgh Penguins,Toronto Maple Leafs,PIT,TOR,7,1,6,-6,359.8
73,OT,New Jersey Devils,Buffalo Sabres,NJD,BUF,2,1,1,-1,456.84
74,,Montreal Canadiens,Detroit Red Wings,MTL,DET,6,1,5,-5,1075.54
75,,St. Louis Blues,Los Angeles Kings,STL,LAK,7,3,4,-4,2554.54
76,,Arizona Coyotes,New York Islanders,ARI,NYI,0,3,-3,3,3479.1
77,,Seattle Kraken,Vancouver Canucks,SEA,VAN,2,4,-2,2,192.35
78,,Boston Bruins,San Jose Sharks,BOS,SJS,4,3,1,-1,4311.1
79,,Minnesota Wild,Nashville Predators,MIN,NSH,2,5,-3,3,1111.22
80,,Chicago Blackhawks,Detroit Red Wings,CHI,DET,3,6,-3,3,396.67
81,,Vegas Golden Knights,New York Islanders,VEG,NYI,0,2,-2,2,3540.03
82,,New York Rangers,Calgary Flames,NYR,CGY,1,5,-4,4,3256.77
83,,Carolina Hurricanes,Toronto Maple Leafs,CAR,TOR,4,1,3,-3,873.57
84,,Florida Panthers,Arizona Coyotes,FLA,ARI,5,3,2,-2,3173.5
85,,Ottawa Senators,Washington Capitals,OTT,WSH,5,7,-2,2,717.2
86,,Columbus Blue Jackets,Dallas Stars,CBJ,DAL,4,1,3,-3,1468.5
87,,Buffalo Sabres,Tampa Bay Lightning,BUF,TBL,5,1,4,-4,1691.27
88,,St. Louis Blues,Los Angeles Kings,STL,LAK,3,0,3,-3,2554.54
89,,New Jersey Devils,Calgary Flames,NJD,CGY,3,5,-2,2,3245.46
90,,Pittsburgh Penguins,Tampa Bay Lightning,PIT,TBL,1,5,-4,4,1407.74
91,,Colorado Avalanche,Vegas Golden Knights,COL,VEG,1,3,-2,2,898.13
92,,Nashville Predators,San Jose Sharks,NSH,SJS,3,1,2,-2,3111.15
93,,Anaheim Ducks,Winnipeg Jets,ANA,WPG,3,4,-1,1,2519.75
94,,Seattle Kraken,Montreal Canadiens,SEA,MTL,5,1,4,-4,3535.06
