,Anaheim Ducks,Arizona Coyotes,Boston Bruins,Buffalo Sabres,Calgary Flames,Carolina Hurricanes,Chicago Blackhawks,Colorado Avalanche,Columbus Blue Jackets,Dallas Stars,Detroit Red Wings,Edmonton Oilers,Florida Panthers,Los Angeles Kings,Minnesota Wild,Montreal Canadiens,Nashville Predators,New Jersey Devils,New York Islanders,New York Rangers,Ottawa Senators,Philadelphia Flyers,Pittsburgh Penguins,San Jose Sharks,Seattle Kraken,St Louis Blues,Tampa Bay Lightning,Toronto Maple Leafs,Vancouver Canucks,Vegas Golden Knights,Winnipeg Jets
Anaheim Ducks,,612.86,4233.66,3594.23,1955.31,3647.26,2852.43,1398.51,3239.99,2050.02,3249.06,2127.38,3786.13,62.02,2522.21,4070.73,2919.66,3986.12,4023.61,4000.93,3845.58,3907.66,3496.33,477.91,1563.35,2616.32,3518.22,3558.82,1755.15,582.02,2519.75
Arizona Coyotes,612.86,,3704.53,3072.68,1951.97,3062.76,2331.11,946.27,2689.49,1439.29,2725.62,2116.68,3173.5,557.86,2072.7,3621.28,2333.98,3441.73,3479.1,3456.71,3349.03,3355.76,2949.5,969.59,1780.08,2055.98,2905.37,3046.59,1966.14,572.19,2200.88
Boston Bruins,4233.66,3704.53,,641.64,3363.94,983.85,1381.23,2842.04,1033.7,2493.25,984.67,3329.1,1990.14,4171.69,1790.33,808.87,1518.19,316.02,288.12,302.9,508.24,439.91,774.34,4311.1,4000.79,1667.04,1905.03,690.73,4023.05,3732.53,2163.07
Buffalo Sabres,3594.23,3072.68,641.64,,2788.75,786.45,742.89,2200.91,472.07,1926.74,347.05,2771.35,1863.46,3532.3,1160.91,835.14,1009.51,456.84,489.84,468.46,357.74,452.51,286.16,3670.1,3398.68,1063.39,1691.27,94.64,3433.89,3090.89,1597.79
Calgary Flames,1955.31,1951.97,3363.94,2788.75,,3272.73,2235.78,1437.85,2687.1,2467.03,2530.89,172.09,3968.35,1920.21,1692.37,2848.55,2721.12,3245.46,3277.74,3256.77,2864.39,3228.86,2861.39,1645.16,710.82,2315.42,3683.25,2710.22,673.71,1441.02,1200.88
Carolina Hurricanes,3647.26,3062.76,983.85,786.45,3272.73,,1037.24,2342.7,596.44,1692.44,817.26,3291.13,1083.26,3586.2,1582.31,1571.76,728.8,676.81,698.39,687.48,1081.54,551.94,527.28,3826.12,3794.61,1063.14,942.12,873.57,3865.86,3228.79,2158.71
Chicago Blackhawks,2852.43,2331.11,1381.23,742.89,2235.78,1037.24,,1462.81,457.09,1284.02,396.67,2254.79,1877.92,2790.47,545.48,1386.17,642.16,1146.28,1183.47,1160.62,1029.48,1084.99,674.93,2942.92,2775.82,414.26,1624.48,716.38,2837.55,2357.47,1144.51
Colorado Avalanche,1398.51,946.27,2842.04,2200.91,1437.85,2342.7,1462.81,,1873.33,1066.12,1858.09,1563.65,2739.74,1336.98,1134.64,2687.27,1641.33,2606.17,2643.56,2620.73,2447.09,2535.98,2122.4,1491.28,1641.17,1280.58,2451.28,2162.35,1776.45,898.13,1285.59
Columbus Blue Jackets,3239.99,2689.49,1033.7,472.07,2687.1,596.44,457.09,1873.33,,1468.5,263.77,2699.79,1555.67,3178.03,994.8,1287.34,538.86,753.16,790.38,768.2,827.8,667.78,261.48,3363.57,3232.86,636.79,1338.26,507.1,3294.14,2771.42,1562.27
Dallas Stars,2050.02,1439.29,2493.25,1926.74,2467.03,1692.44,1284.02,1066.12,1468.5,,1607.96,2572.06,1755.14,1992.7,1388.69,2665.28,989.46,2193.33,2228.59,2208.21,2265.74,2086.25,1721.23,2331.47,2703.64,881,1477.63,1936.12,2842.37,1761.93,1901.88
